,Unnamed: 0,abstract_x,Text,abstract_y,ROUGE,abstract_x,abstract_y,abstract,BLEU,Bench_Seed,Baseline_ROUGE,Baseline_BLEU
367,43554,Maybe too awesome, melted,Another Husband Favorite,1.0,Another Husband Favorite,Another Husband Favorite,Another Husband Favorite,0.0,Another Husband Favorite,0.0,0.0
382,91082,excellent flavor, not the best,Porcini Mushrooms an excellent product,1.0,Porcini Mushrooms an excellent product,Porcini Mushrooms an excellent product,Porcini Mushrooms an excellent product,0.0,Porcini Mushrooms an excellent product,0.0,0.0
383,52208,Divine!, good but not too expensive,"Excellent flavor, mostly large pieces",1.0,"Excellent flavor, mostly large pieces","Excellent flavor, mostly large pieces","Excellent flavor, mostly large pieces",0.0,"Excellent flavor, mostly large pieces",0.0,0.0
393,37918,Good Earth Original Formula Change?, great product,MSG Ham Base,1.0,MSG Ham Base,MSG Ham Base,MSG Ham Base,0.0,MSG Ham Base,0.0,0.0
406,60693,"Slow shipping, good price", delicious,minty flavor,1.0,minty flavor,minty flavor,minty flavor,0.0,minty flavor,0.0,0.0
410,64266,Outstanding Tea for Connoisseur or Non-Connoisseur Alike, good stuff,Excellent tea!,1.0,Excellent tea!,Excellent tea!,Excellent tea!,0.0,Excellent tea!,0.0,0.0
424,83388,"Great coffee, great price",,"Fresh, Lightly-Spiced, Crunchy Kettle Chips. Good Value, Good Product.",1.0,"Fresh, Lightly-Spiced, Crunchy Kettle Chips. Good Value, Good Product.","Fresh, Lightly-Spiced, Crunchy Kettle Chips. Good Value, Good Product.","Fresh, Lightly-Spiced, Crunchy Kettle Chips. Good Value, Good Product.",0.0,"Fresh, Lightly-Spiced, Crunchy Kettle Chips. Good Value, Good Product.",0.0,0.0
425,28561,This tea is delicious., great coffee,glad to find them in 1 oz size,1.0,glad to find them in 1 oz size,glad to find them in 1 oz size,glad to find them in 1 oz size,0.0,glad to find them in 1 oz size,0.0,0.0
436,27337,Really good!, great taste,Salty and vinegary!!!,1.0,Salty and vinegary!!!,Salty and vinegary!!!,Salty and vinegary!!!,0.0,Salty and vinegary!!!,0.0,0.0
445,85810,Best Tarragon Wine Vinegar, great for training,Heavy on the Vinegar,1.0,Heavy on the Vinegar,Heavy on the Vinegar,Heavy on the Vinegar,0.0,Heavy on the Vinegar,0.0,0.0
449,69780,better than regular Spam, not bad,Crunchy and Tasty,1.0,Crunchy and Tasty,Crunchy and Tasty,Crunchy and Tasty,0.0,Crunchy and Tasty,0.0,0.0
460,94339,Yum!, great tea,Not quite the best...,1.0,Not quite the best...,Not quite the best...,Not quite the best...,0.0,Not quite the best...,0.0,0.0
477,91274,Worthy purchase, chocolate chocolate,fantastic!you can not beat this taste and you can not resist to it only one if you are spice lover,1.0,fantastic!you can not beat this taste and you can not resist to it only one if you are spice lover,fantastic!you can not beat this taste and you can not resist to it only one if you are spice lover,fantastic!you can not beat this taste and you can not resist to it only one if you are spice lover,0.0,fantastic!you can not beat this taste and you can not resist to it only one if you are spice lover,0.0,0.0
490,17163,"Expensive, but very good. Intriguing... makes you get a second cup!", great product,Good and tangy,1.0,Good and tangy,Good and tangy,Good and tangy,0.0,Good and tangy,0.0,0.0
503,67649,Good coffee and flavored nicely, delicious,I like them.,1.0,I like them.,I like them.,I like them.,0.0,I like them.,0.0,0.0
513,40810,Three things I miss about working in Binghamton., good stuff,spicy thai chips,1.0,spicy thai chips,spicy thai chips,spicy thai chips,0.0,spicy thai chips,0.0,0.0
525,95669,Not bad, great product,Chip snob alert!,1.0,Chip snob alert!,Chip snob alert!,Chip snob alert!,0.0,Chip snob alert!,0.0,0.0
530,9595,Taste Great!, great tea,Great deal,1.0,Great deal,Great deal,Great deal,0.0,Great deal,0.0,0.0
535,44260,Campbell's Red & White Family Size Cream of Mushroom Soup, excellent product,Kettle Chips,1.0,Kettle Chips,Kettle Chips,Kettle Chips,0.0,Kettle Chips,0.0,0.0
538,80103,Good tea!, great product,completely ripped off,1.0,completely ripped off,completely ripped off,completely ripped off,0.0,completely ripped off,0.0,0.0
542,3007,"Great aroma, and I don't like coffee", great coffee,THESE ARE VERY GOOD,1.0,THESE ARE VERY GOOD,THESE ARE VERY GOOD,THESE ARE VERY GOOD,0.0,THESE ARE VERY GOOD,0.0,0.0
548,24531,Quality right sized dog treats, not bad,No salt Kettle chips.,1.0,No salt Kettle chips.,No salt Kettle chips.,No salt Kettle chips.,0.0,No salt Kettle chips.,0.0,0.0
549,99986,Yummy al dente noodles in my bowl!, great product,Not as good as the English sell,1.0,Not as good as the English sell,Not as good as the English sell,Not as good as the English sell,0.0,Not as good as the English sell,0.0,0.0
550,42060,Great cheese if price is right!, great flavor,VERY DISAPPOINTED,1.0,VERY DISAPPOINTED,VERY DISAPPOINTED,VERY DISAPPOINTED,0.0,VERY DISAPPOINTED,0.0,0.0
563,64208,Fun gift, great gluten free pasta,orgasmic,1.0,orgasmic,orgasmic,orgasmic,0.0,orgasmic,0.0,0.0
565,82839,Delicious savings for Keurig K-Cup Brewers, great coffee,great (hot) new flavor....,1.0,great (hot) new flavor....,great (hot) new flavor....,great (hot) new flavor....,0.25,great (hot) new flavor....,0.5,0.25
573,48727,Awesome Snacks!, great product,The only thing I have ever been addicted too...these chips!,1.0,The only thing I have ever been addicted too...these chips!,The only thing I have ever been addicted too...these chips!,The only thing I have ever been addicted too...these chips!,0.0,The only thing I have ever been addicted too...these chips!,0.0,0.0
575,70862,Baby loves it, not as good as other brands,Good chips,1.0,Good chips,Good chips,Good chips,0.0,Good chips,0.0,0.0
578,2392,nice flavor, hot chocolate,a good buy,1.0,a good buy,a good buy,a good buy,0.0,a good buy,0.0,0.0
580,97321,Very good... wish there were more, great coffee,Good chips,1.0,Good chips,Good chips,Good chips,0.0,Good chips,0.0,0.0
605,89810,Soft chewy and great treat for a smaller dog as well as biggie, great taste,the defacto standard for Salt and Vinegar chips,1.0,the defacto standard for Salt and Vinegar chips,the defacto standard for Salt and Vinegar chips,the defacto standard for Salt and Vinegar chips,0.0,the defacto standard for Salt and Vinegar chips,0.0,0.0
607,11239,Great snack, great taste,Delicious!,1.0,Delicious!,Delicious!,Delicious!,0.0,Delicious!,0.0,0.0
618,97311,"Great, easy solution", great product,I dont know if...,1.0,I dont know if...,I dont know if...,I dont know if...,0.0,I dont know if...,0.0,0.0
620,85761,God bless you Margaret Holmes, great tasting gum,Kettle Foods Spicy Thai Chips,1.0,Kettle Foods Spicy Thai Chips,Kettle Foods Spicy Thai Chips,Kettle Foods Spicy Thai Chips,0.0,Kettle Foods Spicy Thai Chips,0.0,0.0
623,60110,favorite cereal, great taste,ONLY awful because SOMETIMES they are awful,1.0,ONLY awful because SOMETIMES they are awful,ONLY awful because SOMETIMES they are awful,ONLY awful because SOMETIMES they are awful,0.0,ONLY awful because SOMETIMES they are awful,0.0,0.0
639,41542,I purchased this for my daughter who loves coconut water, not what expected,What a great tea at this price,1.0,What a great tea at this price,What a great tea at this price,What a great tea at this price,0.0,What a great tea at this price,0.0,0.0
657,96976,Great Deal, not good,Agave syrup,1.0,Agave syrup,Agave syrup,Agave syrup,0.0,Agave syrup,0.0,0.0
662,79978,be very careful., not the same as the,Great way replacing the sugar,1.0,Great way replacing the sugar,Great way replacing the sugar,Great way replacing the sugar,0.2,Great way replacing the sugar,0.2,0.2
664,22557,Annie Chun, great gluten free snack,My Go to sweetner,1.0,My Go to sweetner,My Go to sweetner,My Go to sweetner,0.0,My Go to sweetner,0.0,0.0
669,1147,bland, great soup,Sweet success,1.0,Sweet success,Sweet success,Sweet success,0.0,Sweet success,0.0,0.0
676,31788,Dogs love it! Helps with skin & arthritis problems, pamela bread mix,Delicious!,1.0,Delicious!,Delicious!,Delicious!,0.0,Delicious!,0.0,0.0
681,5799,Liver treats, best olive oil,"Amazing Taste, Best Chip Ever!",1.0,"Amazing Taste, Best Chip Ever!","Amazing Taste, Best Chip Ever!","Amazing Taste, Best Chip Ever!",0.0,"Amazing Taste, Best Chip Ever!",0.0,0.0
688,86260,Dogs LOVE them,,The best tortilla chips I have ever eaten!!,1.0,The best tortilla chips I have ever eaten!!,The best tortilla chips I have ever eaten!!,The best tortilla chips I have ever eaten!!,0.0,The best tortilla chips I have ever eaten!!,0.0,0.0
692,14195,"Nutritious, but pretty hard and my dog isn't too excited about them", not good,Plocky's Rice and Beans Tortilla Chips,1.0,Plocky's Rice and Beans Tortilla Chips,Plocky's Rice and Beans Tortilla Chips,Plocky's Rice and Beans Tortilla Chips,0.0,Plocky's Rice and Beans Tortilla Chips,0.0,0.0
697,98871,Just Okay.., great treat,Don't stop carrying these chips,1.0,Don't stop carrying these chips,Don't stop carrying these chips,Don't stop carrying these chips,0.0,Don't stop carrying these chips,0.0,0.0
713,50230,Vegan Natural Kosher Choice, great product,These chips are addictive!,1.0,These chips are addictive!,These chips are addictive!,These chips are addictive!,0.0,These chips are addictive!,0.0,0.0
725,82959,GREAT Coffee!, not fan,Very Tasty - BUT BEWARE,1.0,Very Tasty - BUT BEWARE,Very Tasty - BUT BEWARE,Very Tasty - BUT BEWARE,0.0,Very Tasty - BUT BEWARE,0.0,0.0
731,12456,"Great, bold coffee", great tea,Amazing,1.0,Amazing,Amazing,Amazing,0.0,Amazing,0.0,0.0
751,98204,Happy Tots, great tea,"Good soy sauce, but not special. Mainly good as unique gift.",1.0,"Good soy sauce, but not special. Mainly good as unique gift.","Good soy sauce, but not special. Mainly good as unique gift.","Good soy sauce, but not special. Mainly good as unique gift.",0.0,"Good soy sauce, but not special. Mainly good as unique gift.",0.0,0.0
765,66004,Not fit for my dog, great gift,One of the better T-Discs,1.0,One of the better T-Discs,One of the better T-Discs,One of the better T-Discs,0.0,One of the better T-Discs,0.0,0.0
770,36856,Liquid Love!, good coffee,Perfect Sampler of Milka Chocolate,1.0,Perfect Sampler of Milka Chocolate,Perfect Sampler of Milka Chocolate,Perfect Sampler of Milka Chocolate,0.0,Perfect Sampler of Milka Chocolate,0.0,0.0
779,39139,"Low-cal, great-tasting, natural refreshing drink", great dog food,Great little treats,1.0,Great little treats,Great little treats,Great little treats,0.0,Great little treats,0.0,0.0
800,93859,"Disappointed by omissions, replacements, and quality", great product,choclate,1.0,choclate,choclate,choclate,0.0,choclate,0.0,0.0
804,76732,DARK MAGIC COFFEE, great popcorn,Even at $15 seems a little overpriced.,1.0,Even at $15 seems a little overpriced.,Even at $15 seems a little overpriced.,Even at $15 seems a little overpriced.,0.0,Even at $15 seems a little overpriced.,0.0,0.0
812,9544,Best chili powder I ever tried!, great dog food,has a very good flavor,1.0,has a very good flavor,has a very good flavor,has a very good flavor,0.0,has a very good flavor,0.0,0.0
818,45833,Could not finish, not fan,Perfect for Cockers!,1.0,Perfect for Cockers!,Perfect for Cockers!,Perfect for Cockers!,0.0,Perfect for Cockers!,0.0,0.0
821,8820,Great product!, great chips,Great food!,1.0,Great food!,Great food!,Great food!,0.0,Great food!,0.0,0.0
834,22516,Diamond glazed walnuts from Amazon, great product,Best Breakfast Tea ever,1.0,Best Breakfast Tea ever,Best Breakfast Tea ever,Best Breakfast Tea ever,0.0,Best Breakfast Tea ever,0.0,0.0
844,13273,Good mushrooms produced in USA, great coffee,Great caramels,1.0,Great caramels,Great caramels,Great caramels,0.0,Great caramels,0.0,0.0
853,3142,Good to use the bread machine again, yummy,mm mm oats,1.0,mm mm oats,mm mm oats,mm mm oats,0.0,mm mm oats,0.0,0.0
869,56745,No flavor, great snack,Great Buy,1.0,Great Buy,Great Buy,Great Buy,0.0,Great Buy,0.0,0.0
870,90339,Art of Appreciation Gift Box, great product,Good stuff,1.0,Good stuff,Good stuff,Good stuff,0.0,Good stuff,0.0,0.0
877,31439,Best seasoning out there!!!, great taste,great taste But size it smaller,1.0,great taste But size it smaller,great taste But size it smaller,great taste But size it smaller,0.3333333333333333,great taste But size it smaller,1.0,0.3333333333333333
886,67016,"Not What it Appears to Be, Full of HFCS!", not as good as hoped,Be Very Berry Wary.,1.0,Be Very Berry Wary.,Be Very Berry Wary.,Be Very Berry Wary.,0.0,Be Very Berry Wary.,0.0,0.0
894,63769,"very ""coffee""", great taste,Best Coffee!,1.0,Best Coffee!,Best Coffee!,Best Coffee!,0.0,Best Coffee!,0.0,0.0
910,81409,"Nice coffee, great value", great product,Too thin,1.0,Too thin,Too thin,Too thin,0.0,Too thin,0.0,0.0
932,54771,Extremely Amazing!!!!!, my cats love this,A little more watery than other 2nd foods for EB,1.0,A little more watery than other 2nd foods for EB,A little more watery than other 2nd foods for EB,A little more watery than other 2nd foods for EB,0.0,A little more watery than other 2nd foods for EB,0.0,0.0
963,80167,Small Bites are No Bites, not the best,"These are good, but ...",1.0,"These are good, but ...","These are good, but ...","These are good, but ...",0.0,"These are good, but ...",0.0,0.0
985,55881,The best coffee!, great tea,"Moore's Marinade, Gluten, low sodium and MSG Free!",1.0,"Moore's Marinade, Gluten, low sodium and MSG Free!","Moore's Marinade, Gluten, low sodium and MSG Free!","Moore's Marinade, Gluten, low sodium and MSG Free!",0.0,"Moore's Marinade, Gluten, low sodium and MSG Free!",0.0,0.0
993,24420,Delicious!, great product,Best all around hot sauce,1.0,Best all around hot sauce,Best all around hot sauce,Best all around hot sauce,0.0,Best all around hot sauce,0.0,0.0
997,88538,BEST EVER, great product,this sauce is the shiznit,1.0,this sauce is the shiznit,this sauce is the shiznit,this sauce is the shiznit,0.0,this sauce is the shiznit,0.0,0.0
999,53879,Great value, great taste,"Not hot, not habanero",1.0,"Not hot, not habanero","Not hot, not habanero","Not hot, not habanero",0.0,"Not hot, not habanero",0.0,0.0
1005,72014,good anti-dandruff shampoo, haribo gummi bears,The Puppy Dogs Love Them!,1.0,The Puppy Dogs Love Them!,The Puppy Dogs Love Them!,The Puppy Dogs Love Them!,0.0,The Puppy Dogs Love Them!,0.0,0.0
1010,61488,Love This Tea, great gift,Way too salty,1.0,Way too salty,Way too salty,Way too salty,0.0,Way too salty,0.0,0.0
1011,48915,A+ Texture, great coffee,Warm and Wonderful,1.0,Warm and Wonderful,Warm and Wonderful,Warm and Wonderful,0.0,Warm and Wonderful,0.0,0.0
1013,26876,Perfect Tea, great taste,BEst stuff ever,1.0,BEst stuff ever,BEst stuff ever,BEst stuff ever,0.0,BEst stuff ever,0.0,0.0
1021,60638,Great Stuff, great product,Favorite cereal,1.0,Favorite cereal,Favorite cereal,Favorite cereal,0.0,Favorite cereal,0.0,0.0
1028,37059,Great Bones for Dogs!!!!, great product,Best cereal I have ever eaten!,1.0,Best cereal I have ever eaten!,Best cereal I have ever eaten!,Best cereal I have ever eaten!,0.0,Best cereal I have ever eaten!,0.0,0.0
1041,2790,the best, expired,Love It,1.0,Love It,Love It,Love It,0.0,Love It,0.0,0.0
1043,72403,Crunchy & Delicious, haribo gummi bears,Delicate Asian salad dressing...,1.0,Delicate Asian salad dressing...,Delicate Asian salad dressing...,Delicate Asian salad dressing...,0.0,Delicate Asian salad dressing...,0.0,0.0
1059,79651,greens superfood, great product,Heavenly!,1.0,Heavenly!,Heavenly!,Heavenly!,0.0,Heavenly!,0.0,0.0
1089,95329,not organic but tasty, great tea,"Award winning, awesome flavour!",1.0,"Award winning, awesome flavour!","Award winning, awesome flavour!","Award winning, awesome flavour!",0.0,"Award winning, awesome flavour!",0.0,0.0
1090,72205,"Not as good as the ""Wild"" flavor", great product,It's decent,1.0,It's decent,It's decent,It's decent,0.0,It's decent,0.0,0.0
1095,40790,not like the one's from a store, my dog loves these,Zesty and Spiced,1.0,Zesty and Spiced,Zesty and Spiced,Zesty and Spiced,0.0,Zesty and Spiced,0.0,0.0
1113,18514,Silver Sprinkles, not good,PLEASE!!!!!Don't waste your money,1.0,PLEASE!!!!!Don't waste your money,PLEASE!!!!!Don't waste your money,PLEASE!!!!!Don't waste your money,0.0,PLEASE!!!!!Don't waste your money,0.0,0.0
1122,34377,My dog loves these chews, great taste,one of the best,1.0,one of the best,one of the best,one of the best,0.0,one of the best,0.0,0.0
1127,55074,Great tasting pudding, great product,NOT 6 pieces.,1.0,NOT 6 pieces.,NOT 6 pieces.,NOT 6 pieces.,0.0,NOT 6 pieces.,0.0,0.0
1139,85132,Best Cure for an Upset Tummy!, great snack,Cats love it,1.0,Cats love it,Cats love it,Cats love it,0.0,Cats love it,0.0,0.0
1146,60546,Great Price!, great product,yummy!,1.0,yummy!,yummy!,yummy!,0.0,yummy!,0.0,0.0
1147,17151,I've been lokking for this for quite a while, great food,bland,1.0,bland,bland,bland,0.0,bland,0.0,0.0
1155,23881,Better than regular chips, great treats,Like to gamble? Buying the St. Patty's Dried Fruit Basket is a Crap-Shoot,1.0,Like to gamble? Buying the St. Patty's Dried Fruit Basket is a Crap-Shoot,Like to gamble? Buying the St. Patty's Dried Fruit Basket is a Crap-Shoot,Like to gamble? Buying the St. Patty's Dried Fruit Basket is a Crap-Shoot,0.0,Like to gamble? Buying the St. Patty's Dried Fruit Basket is a Crap-Shoot,0.0,0.0
1158,8636,Perfect Espresso K-Cup, great taste,Just ok,1.0,Just ok,Just ok,Just ok,0.0,Just ok,0.0,0.0
1165,67637,One of the weakest coffees I've ever had, great cereal,dense licorice flavor,1.0,dense licorice flavor,dense licorice flavor,dense licorice flavor,0.0,dense licorice flavor,0.0,0.0
1193,52745,"GREAT soup and ""free"" for diabetics!", good product,Great Product!,1.0,Great Product!,Great Product!,Great Product!,0.0,Great Product!,0.0,0.0
1194,44707,"Good Treat For A Party, But Pricey for Everyday Munching", great tea,Apple Cinnamon Muffins,1.0,Apple Cinnamon Muffins,Apple Cinnamon Muffins,Apple Cinnamon Muffins,0.0,Apple Cinnamon Muffins,0.0,0.0
1203,79287,Fabulous!, great taste,Mini Mini is right!,1.0,Mini Mini is right!,Mini Mini is right!,Mini Mini is right!,0.0,Mini Mini is right!,0.0,0.0
1208,82062,Delightfully Dented, great tea,Actually pretty good,1.0,Actually pretty good,Actually pretty good,Actually pretty good,0.0,Actually pretty good,0.0,0.0
1211,93188,Really Delicious Dark Chocolate Covered Coffee, great taste,Now this is my kind of Potato with Steak,1.0,Now this is my kind of Potato with Steak,Now this is my kind of Potato with Steak,Now this is my kind of Potato with Steak,0.0,Now this is my kind of Potato with Steak,0.0,0.0
1221,29179,Convenient & tasty, best coffee ever,These are the best hash browns!!!!!!!!!!,1.0,These are the best hash browns!!!!!!!!!!,These are the best hash browns!!!!!!!!!!,These are the best hash browns!!!!!!!!!!,0.16666666666666669,These are the best hash browns!!!!!!!!!!,0.3333333333333333,0.16666666666666669
1224,1208,Actually pretty good, great product,tasted ok.... a bit overpriced tho,1.0,tasted ok.... a bit overpriced tho,tasted ok.... a bit overpriced tho,tasted ok.... a bit overpriced tho,0.0,tasted ok.... a bit overpriced tho,0.0,0.0
1232,36710,Very pleased..., great,Big fan!,1.0,Big fan!,Big fan!,Big fan!,0.0,Big fan!,0.0,0.0
1241,64865,Survival Of The Fittest, great taste,Can't detect the prickly pear,1.0,Can't detect the prickly pear,Can't detect the prickly pear,Can't detect the prickly pear,0.0,Can't detect the prickly pear,0.0,0.0
1269,39090,Excellent product considering, delicious,A Healing Tea,1.0,A Healing Tea,A Healing Tea,A Healing Tea,0.0,A Healing Tea,0.0,0.0
1271,12559,Excellent quality, not as pictured,Absolutely the Best,1.0,Absolutely the Best,Absolutely the Best,Absolutely the Best,0.0,Absolutely the Best,0.0,0.0
1288,52676,A delicious pumpkin treat!, great,Jack's treats,1.0,Jack's treats,Jack's treats,Jack's treats,0.0,Jack's treats,0.0,0.0
1291,17510,Good tasting and a great price, good product,Liver Biscotti rules in our house,1.0,Liver Biscotti rules in our house,Liver Biscotti rules in our house,Liver Biscotti rules in our house,0.0,Liver Biscotti rules in our house,0.0,0.0
1294,52677,Spicy tasty pumpkin pie tea!, not bad,Deeee-licious!,1.0,Deeee-licious!,Deeee-licious!,Deeee-licious!,0.0,Deeee-licious!,0.0,0.0
1296,73929,Taste is great but Nutrition Facts prove hazzardous, great tea,mmmmmmmm...beer...nuts!,1.0,mmmmmmmm...beer...nuts!,mmmmmmmm...beer...nuts!,mmmmmmmm...beer...nuts!,0.0,mmmmmmmm...beer...nuts!,0.0,0.0
1311,16238,diappointed, great product,Superb Pasta!,1.0,Superb Pasta!,Superb Pasta!,Superb Pasta!,0.0,Superb Pasta!,0.0,0.0
1313,20706,Love this hot chocolate mix!, great chips,One of the best sweet hot sauces out there,1.0,One of the best sweet hot sauces out there,One of the best sweet hot sauces out there,One of the best sweet hot sauces out there,0.0,One of the best sweet hot sauces out there,0.0,0.0
1319,93695,Happy Hips Dog food is a life saver, great product,The Price is Right,1.0,The Price is Right,The Price is Right,The Price is Right,0.0,The Price is Right,0.0,0.0
1331,73699,"Simplistic, Functional and Cute", great for my dog,Delicous,1.0,Delicous,Delicous,Delicous,0.0,Delicous,0.0,0.0
1361,8520,If there were no other coffee in the house, not bad,Cherry good!,1.0,Cherry good!,Cherry good!,Cherry good!,0.0,Cherry good!,0.0,0.0
1379,47984,"Fab taste, fresh and so delish!", great product,Best tasting,1.0,Best tasting,Best tasting,Best tasting,0.0,Best tasting,0.0,0.0
1384,80557,YUM!!!!, not good,I love this stuff,1.0,I love this stuff,I love this stuff,I love this stuff,0.0,I love this stuff,0.0,0.0
1387,42264,Better than I thought it would be, great taste,Great Taste and Zero Calories,1.0,Great Taste and Zero Calories,Great Taste and Zero Calories,Great Taste and Zero Calories,0.0,Great Taste and Zero Calories,0.0,0.0
1397,19976,tasty, good,Great Product,1.0,Great Product,Great Product,Great Product,0.0,Great Product,0.0,0.0
1401,53657,Best microwave popcorn, great coffee,The Only Sweetener I Will Use,1.0,The Only Sweetener I Will Use,The Only Sweetener I Will Use,The Only Sweetener I Will Use,0.0,The Only Sweetener I Will Use,0.0,0.0
1415,34914,Holy Pepper!, great taste,Worthy Every $,1.0,Worthy Every $,Worthy Every $,Worthy Every $,0.0,Worthy Every $,0.0,0.0
1427,75646,Just Enough, great treats,Great Coffee,1.0,Great Coffee,Great Coffee,Great Coffee,0.0,Great Coffee,0.0,0.0
